file,status,evidence
./app/ui/pbr_raytracing/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./app/ui/pbr_raytracing/bidirectional_path_tracer.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_cloth_charlie_sheen.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_cook_torrance_ggx.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_dielectric_specular.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_disney_principled.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_fresnel_schlick.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_ggx_distribution.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_hair_marschner.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_lambertian_diffuse.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_oren_nayar_diffuse.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_smith_shadowing_masking.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/brdf_thin_film_iridescence.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bssrdf_dipole_subsurface.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bssrdf_random_walk_sss.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bvh_node_struct.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bvh_sah_builder.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bvh_tlas_blas_instancing.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/bvh_traversal_stack.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/camera_thin_lens_dof.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/denoiser_joint_bilateral.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/denoiser_temporal_reprojection.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/hdr_radiance_accumulator.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/kdtree_spatial_builder.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/light_area_diffuse.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/light_environment_map.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/light_point_directional.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pathtrace_integrator_core.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pathtrace_monte_carlo_mis.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pathtrace_next_event_estimation.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pathtrace_russian_roulette.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pbr_raytracing.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/pbr_raytracing_stubs.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/pbr_raytracing/photon_mapping_density.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/post_tone_mapping_aces.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_aabb_slab_intersection.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_bezier_curve_hair.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_cylinder_capsule.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_disk_quad.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_primitive.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_sphere_analytic.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/ray_triangle_moller_trumbore.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/sampling_alias_method.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/sampling_cosine_hemisphere.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/sampling_sobol_qmc.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/spatial_reservoir_restir.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/spectral_cie_xyz_rgb.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/surface_interaction.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/vec3_math.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/volumetric_delta_tracking.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/pbr_raytracing/volumetric_phase_function.oo,GREEN,imported by app/ui/pbr_raytracing/ANCHOR.oo
./app/ui/progressive_disclosure_principle.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/scroll_physics_theory.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/squares_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/steering_law.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/tui/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./app/ui/tui/border_styles.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/box_drawing.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/cursor_controller.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/key_events.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/kitty_graphics.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/layout_flex.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/layout_grid.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/layout_split.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/mouse_events.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/theme_dark.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/theme_light.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui_buffer.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui_cell.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui_elm_arch.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui_renderer.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/tui_stubs.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/tui/widget_button.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_dialog.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input_core.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input_navigation.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input_ops.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input_render.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_input_types.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/tui/widget_list.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_progressbar.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_statusbar.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_table.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_tabs.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_treeview.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/tui/widget_window.oo,GREEN,imported by app/ui/tui/ANCHOR.oo
./app/ui/ui_invariants.oo,GREEN,imported by app/ui/animation_curve_law.oo
./app/ui/ui_kat.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/visibility_principle.oo,RESIDUAL,private sibling (science/ANCHOR.oo §2 — do not import)
./app/ui/wayland/ANCHOR.oo,ANCHOR,front-door (RULES §1.19)
./app/ui/wayland/client.oo,GREEN,imported by app/data/cloud/ANCHOR.oo
./app/ui/wayland/core.oo,GREEN,imported by app/robot/predictive/ANCHOR.oo
./app/ui/wayland/frame_loop.oo,GREEN,imported by app/ui/wayland/ANCHOR.oo
